-62.09, -46.77
-61.99, -47.67
-61.89, -47.52
-61.79, -46.74
-61.69, -45.78
-61.59, -45.10
-61.49, -44.90
-61.39, -45.00
-61.29, -45.52
-61.19, -46.23
-61.09, -46.95
-60.99, -47.48
-60.89, -47.10
-60.79, -46.38
-60.69, -45.66
-60.59, -44.91
-60.49, -44.78
-60.39, -45.14
-60.29, -46.37
-60.19, -48.20
-60.09, -51.69
-59.99, -52.56
-59.89, -49.36
-59.79, -46.63
-59.69, -44.42
-59.59, -43.21
-59.49, -42.74
-59.39, -43.10
-59.29, -43.93
-59.19, -45.02
-59.09, -46.61
-58.99, -48.61
-58.89, -51.30
-58.79, -51.48
-58.69, -49.99
-58.59, -47.60
-58.49, -46.23
-58.39, -46.00
-58.29, -46.55
-58.19, -47.83
-58.09, -49.78
-57.99, -51.16
-57.89, -50.93
-57.79, -50.46
-57.69, -49.47
-57.59, -48.80
-57.49, -48.92
-57.39, -49.20
-57.29, -50.22
-57.19, -53.82
-57.09, -59.05
-56.99, -59.49
-56.89, -51.97
-56.79, -48.30
-56.69, -46.18
-56.59, -44.99
-56.49, -44.08
-56.39, -43.49
-56.29, -43.24
-56.19, -43.49
-56.09, -44.23
-55.99, -45.39
-55.89, -47.19
-55.79, -49.21
-55.69, -49.48
-55.59, -48.68
-55.49, -47.74
-55.39, -46.69
-55.29, -46.15
-55.19, -46.41
-55.09, -47.26
-54.99, -48.67
-54.89, -50.82
-54.79, -53.05
-54.69, -54.39
-54.59, -52.27
-54.49, -50.16
-54.39, -48.71
-54.29, -48.52
-54.19, -49.12
-54.09, -51.56
-53.99, -56.25
-53.89, -82.32
-53.79, -56.46
-53.69, -50.85
-53.59, -47.63
-53.49, -45.56
-53.39, -44.18
-53.29, -43.03
-53.19, -42.70
-53.09, -42.76
-52.99, -43.19
-52.89, -43.96
-52.79, -45.52
-52.69, -47.95
-52.59, -52.29
-52.49, -57.92
-52.39, -66.17
-52.29, -56.49
-52.19, -52.07
-52.09, -50.03
-51.99, -49.45
-51.89, -49.56
-51.79, -49.98
-51.69, -50.85
-51.59, -51.25
-51.49, -50.01
-51.39, -48.95
-51.29, -47.73
-51.19, -47.20
-51.09, -47.32
-50.99, -48.32
-50.89, -50.00
-50.79, -53.65
-50.69, -57.49
-50.59, -56.50
-50.49, -51.64
-50.39, -48.56
-50.29, -46.22
-50.19, -44.61
-50.09, -43.50
-49.99, -43.01
-49.89, -43.01
-49.79, -43.45
-49.69, -44.23
-49.59, -45.90
-49.49, -47.95
-49.39, -50.89
-49.29, -53.32
-49.19, -52.93
-49.09, -50.68
-48.99, -48.48
-48.89, -46.92
-48.79, -46.31
-48.69, -46.10
-48.59, -46.58
-48.49, -47.76
-48.39, -49.75
-48.29, -51.06
-48.19, -51.81
-48.09, -50.84
-47.99, -49.63
-47.89, -49.06
-47.79, -48.77
-47.69, -48.42
-47.59, -48.46
-47.49, -48.44
-47.39, -48.84
-47.29, -48.87
-47.19, -48.51
-47.09, -47.84
-46.99, -47.02
-46.89, -46.71
-46.79, -47.00
-46.69, -47.81
-46.59, -49.09
-46.49, -51.32
-46.39, -55.26
-46.29, -59.50
-46.19, -57.02
-46.09, -51.81
-45.99, -48.28
-45.89, -46.09
-45.79, -44.60
-45.69, -43.33
-45.59, -42.83
-45.49, -42.43
-45.39, -42.58
-45.29, -43.01
-45.19, -43.95
-45.09, -44.98
-44.99, -46.48
-44.89, -49.15
-44.79, -53.21
-44.69, -59.48
-44.59, -57.48
-44.49, -52.65
-44.39, -49.26
-44.29, -47.80
-44.19, -46.63
-44.09, -46.12
-43.99, -45.52
-43.89, -45.62
-43.79, -45.52
-43.69, -45.72
-43.59, -46.11
-43.49, -46.69
-43.39, -47.43
-43.29, -48.53
-43.19, -50.13
-43.09, -51.36
-42.99, -52.49
-42.89, -52.87
-42.79, -52.33
-42.69, -51.41
-42.59, -50.45
-42.49, -50.51
-42.39, -50.04
-42.29, -50.17
-42.19, -50.32
-42.09, -50.71
-41.99, -51.11
-41.89, -51.03
